,name,address,id,rating,type,user_ratings_total,place_id
0,Blue Fin Sushi & Teriyaki,"665 E Foothill Blvd J, Claremont, CA 91711, United States",0877e1ad51fe1683de585ed9a4bc969ac0bb15dc,4.6,"restaurant, food, point_of_interest, establishment",94,ChIJMZrp6boxw4ARYkba5dvFlEk
1,Nuno's Bistro & Bar,"2440 W Arrow Route #4a, Upland, CA 91786, United States",fa39adefc39e7745461079f468eef75e30c25b77,4.7,"restaurant, food, point_of_interest, establishment",238,ChIJs6Gyb5gxw4ARE__8uq9f-o0
2,Magnolia Wines & Eatery,"665 E Foothill Blvd Suite C, Claremont, CA 91711, United States",23ee7d9d89715e81e9634da35699c14f66cfd5f1,4.9,"restaurant, food, point_of_interest, establishment",36,ChIJlYZr84Uxw4ARkMnvQtOHfxA
3,Maniac-Mikes Cafe,"1749 W 13th St, Upland, CA 91786, United States",7ecb95b4459b41d3ef53297dc8d35fe47e28db5a,4.5,"cafe, restaurant, food, point_of_interest, establishment",114,ChIJpcKevAgxw4ARAcywxTRoPs4
4,Spaggi's,"1651 W Foothill Blvd, Upland, CA 91786, United States",a7aae512632c4ca45b326a041ac9f454e3f5181b,4.6,"restaurant, food, point_of_interest, establishment",100,ChIJ93bTSQwxw4ARJQkR8VpAwq0
5,Euro Cafe,"546 E Baseline Rd, Claremont, CA 91711, United States",6732c0a32e739295a2288b7c8a54ce9aaf023431,4.6,"restaurant, food, point_of_interest, establishment",207,ChIJI5E6W0www4ARpY76ScfQ9BQ
6,Juanchos Mexican Restaurant,"2440 W Arrow Route, Upland, CA 91786, United States",1580b2f64b4e0f517bae42bc56dc46e94a8c23c6,4.4,"restaurant, food, point_of_interest, establishment",384,ChIJM9q0ZZgxw4ARiZN1DS3YFCQ
7,Rincon Azteca Mexican Food,"586 E Baseline Rd, Claremont, CA 91711, United States",5e8525273623918424f7c7bb24b51ef74af00649,4.6,"restaurant, food, point_of_interest, establishment",46,ChIJNd3b_Uwww4ARpweQA0Dnpr0
8,Elvira's Grill - Claremont,"415 W Foothill Blvd #100, Claremont, CA 91711, United States",29c068b7e08e7d10de1d076e2b407bcb30188e96,4.5,"restaurant, food, point_of_interest, establishment",602,ChIJvX_76c4xw4ARPy3I6sbEnL8
9,The Hat,"857 N Central Ave, Upland, CA 91786, United States",7c9ebda0f71ed8432f05ed2c8ce7d64c0853120e,4.6,"meal_takeaway, restaurant, food, point_of_interest, establishment",2241,ChIJsfd5gQoxw4AR7n7JCUCYyVc
10,Pueblita Mexican Restaurant,"555 N Benson Ave, Upland, CA 91786, United States",47542d737aead057e5e733efb70a5dadcb9662c8,4.4,"restaurant, food, point_of_interest, establishment",330,ChIJqVxqSHIxw4ARKJiPUnJiTg4
11,Servandos Taco Shop,"977 N Central Ave, Upland, CA 91786, United States",483551ea4b4e5d83e8c94f9ec19842685edcc866,4.5,"restaurant, food, point_of_interest, establishment",161,ChIJbxA4BAoxw4ARiu8uDdp_0Io
12,In-N-Out Burger,"1837 Foothill Blvd, Upland, CA 91786, United States",1c1dfbcc0849d37fa970d9ad0809dfa100714208,4.7,"restaurant, food, point_of_interest, establishment",1589,ChIJsXrRwgsxw4ARIP2iKR75E3w
13,The Meat Cellar,"160 W Foothill Blvd, Claremont, CA 91711, United States",a634db5e4658869829548240b2462c86b336480f,4.3,"restaurant, bar, food, point_of_interest, store, establishment",268,ChIJBZW4k7oxw4ARsunFxhkBaNM
14,Mi Ranchito Restaurant & Cantina,"1964 W Foothill Blvd, Upland, CA 91786, United States",e1af68a711ec3b649d04bfa0e4cdd9a4449027d8,4.0,"bar, restaurant, food, point_of_interest, establishment",382,ChIJzVPuxkgxw4ARn7AWWHKXskE
