city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Rowland Heights,Rowland Heights,CA,California,06037,Los Angeles,6037,Los Angeles,33.9716,-117.8911,50572,1493,polygon,FALSE,FALSE,America/Los_Angeles,3,91748 91789,1840113178
Avocado Heights,Avocado Heights,CA,California,06037,Los Angeles,6037,Los Angeles,34.0381,-118.0026,16213,2313,polygon,FALSE,FALSE,America/Los_Angeles,2,91746 90601,1840111837
Inglewood,Inglewood,CA,California,06037,Los Angeles,6037,Los Angeles,33.9566,-118.3444,110598,4709,polygon,FALSE,TRUE,America/Los_Angeles,2,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312,1840107504
South Whittier,South Whittier,CA,California,06037,Los Angeles,6037,Los Angeles,33.9336,-118.0311,60000,4340,polygon,FALSE,FALSE,America/Los_Angeles,2,90604 90605,1840112774
Manhattan Beach,Manhattan Beach,CA,California,06037,Los Angeles,6037,Los Angeles,33.8895,-118.3972,35924,3522,polygon,FALSE,TRUE,America/Los_Angeles,2,90266 90267,1840107591
El Monte,El Monte,CA,California,06037,Los Angeles,6037,Los Angeles,34.0739,-118.0291,116109,4688,polygon,FALSE,TRUE,America/Los_Angeles,2,91732 91731 91733 91734 91735,1840105700
Willowbrook,Willowbrook,CA,California,06037,Los Angeles,6037,Los Angeles,33.9199,-118.2362,22654,5655,polygon,FALSE,FALSE,America/Los_Angeles,2,90059 90222,1840113438
Montebello,Montebello,CA,California,06037,Los Angeles,6037,Los Angeles,34.0155,-118.1108,63192,2928,polygon,FALSE,TRUE,America/Los_Angeles,2,90640,1840106158
Pico Rivera,Pico Rivera,CA,California,06037,Los Angeles,6037,Los Angeles,33.9902,-118.0888,63522,2956,polygon,FALSE,TRUE,America/Los_Angeles,2,90660 90661 90662,1840105748
East Rancho Dominguez,East Rancho Dominguez,CA,California,06037,Los Angeles,6037,Los Angeles,33.8949,-118.1956,16027,7527,polygon,FALSE,FALSE,America/Los_Angeles,2,90221,1840112703
Santa Fe Springs,Santa Fe Springs,CA,California,06037,Los Angeles,6037,Los Angeles,33.933,-118.0625,17980,782,polygon,FALSE,TRUE,America/Los_Angeles,3,90670 90671,1840107777
La Crescenta-Montrose,La Crescenta-Montrose,CA,California,06037,Los Angeles,6037,Los Angeles,34.2323,-118.2353,19658,2214,polygon,FALSE,TRUE,America/Los_Angeles,2,91214 91020 91021 91224,1840112517
Signal Hill,Signal Hill,CA,California,06037,Los Angeles,6037,Los Angeles,33.8029,-118.1681,11622,2048,polygon,FALSE,TRUE,America/Los_Angeles,2,90755,1840107793
West Covina,West Covina,CA,California,06037,Los Angeles,6037,Los Angeles,34.0555,-117.9112,107598,2589,polygon,FALSE,TRUE,America/Los_Angeles,2,91792 91791 91790 91793,1840105772
Bellflower,Bellflower,CA,California,06037,Los Angeles,6037,Los Angeles,33.888,-118.1271,77772,4907,polygon,FALSE,TRUE,America/Los_Angeles,2,90706 90707,1840105675
Agoura Hills,Agoura Hills,CA,California,06037,Los Angeles,6037,Los Angeles,34.151,-118.7608,20692,1024,polygon,FALSE,TRUE,America/Los_Angeles,3,91301 91376,1840108270
Lancaster,Lancaster,CA,California,06037,Los Angeles,6037,Los Angeles,34.6934,-118.1753,349218,656,polygon,FALSE,TRUE,America/Los_Angeles,2,93535 93534 93536 93539 93584,1840105726
Vernon,Vernon,CA,California,06037,Los Angeles,6037,Los Angeles,34.0019,-118.2106,113,8,polygon,FALSE,TRUE,America/Los_Angeles,3,90058,1840107879
Compton,Compton,CA,California,06037,Los Angeles,6037,Los Angeles,33.893,-118.2275,97612,3758,polygon,FALSE,TRUE,America/Los_Angeles,2,90220 90221 90222 90223,1840105688
Rolling Hills,Rolling Hills,CA,California,06037,Los Angeles,6037,Los Angeles,33.76,-118.3471,1882,242,polygon,FALSE,TRUE,America/Los_Angeles,3,90274,1840107742
Ladera Heights,Ladera Heights,CA,California,06037,Los Angeles,6037,Los Angeles,33.9972,-118.374,7081,921,polygon,FALSE,FALSE,America/Los_Angeles,3,90008 90230 90056,1840112535
Leona Valley,Leona Valley,CA,California,06037,Los Angeles,6037,Los Angeles,34.6147,-118.299,1615,33,polygon,FALSE,FALSE,America/Los_Angeles,3,93551,1840114576
Rolling Hills Estates,Rolling Hills Estates,CA,California,06037,Los Angeles,6037,Los Angeles,33.7783,-118.3508,8226,889,polygon,FALSE,TRUE,America/Los_Angeles,3,90274,1840107743
Sun Village,Sun Village,CA,California,06037,Los Angeles,6037,Los Angeles,34.5596,-117.9559,12794,457,polygon,FALSE,TRUE,America/Los_Angeles,3,93591 93543,1840114675
Torrance,Torrance,CA,California,06037,Los Angeles,6037,Los Angeles,33.8346,-118.3417,146758,2767,polygon,FALSE,TRUE,America/Los_Angeles,2,90277 90501 90503 90505 90504 90507 90508 90509 90510,1840105766
